2026-07-29T00:45:00-07:00 -> 2026-07-29T01:30:00-07:00 | 🕯️ Night Ritual → Lights Out | colorId 1
2026-07-29T07:00:00-07:00 -> 2026-07-29T07:30:00-07:00 | 🌅 Slow Start | colorId 1
2026-07-29T07:30:00-07:00 -> 2026-07-29T08:00:00-07:00 | ☕ Coffee + Breakfast + Frieren | colorId 4
2026-07-29T08:00:00-07:00 -> 2026-07-29T09:15:00-07:00 | 🎯 Goal Deep Work (Trading / Math) | colorId 3
2026-07-29T09:15:00-07:00 -> 2026-07-29T11:00:00-07:00 | 💪 Gym + Walk Home | colorId 4
2026-07-29T11:00:00-07:00 -> 2026-07-29T11:30:00-07:00 | 💃 Dance / Movement | colorId 3
2026-07-29T11:30:00-07:00 -> 2026-07-29T12:15:00-07:00 | 🚿 Full Shower + Skincare | colorId 1
2026-07-29T12:15:00-07:00 -> 2026-07-29T13:00:00-07:00 | 🍳 Lunch + Reset Before Class | colorId 4
2026-07-29T13:00:00-07:00 -> 2026-07-29T15:30:00-07:00 | 🧪 CHEM 3A — Lecture (online) | colorId 7
2026-07-29T13:00:00-07:00 -> 2026-07-29T15:30:00-07:00 | 🧪 CHEM 3A Lecture | colorId 3
2026-07-29T15:30:00-07:00 -> 2026-07-29T17:00:00-07:00 | 📚 CHEM Homework / Study 🛡️ | colorId 3
2026-07-29T17:00:00-07:00 -> 2026-07-29T17:30:00-07:00 | 🌿 Meal Prep + Loose Ends | colorId 1
2026-07-29T17:30:00-07:00 -> 2026-07-29T18:00:00-07:00 | 🌙 Recharge | colorId 1
2026-07-29T19:00:00-07:00 -> 2026-07-29T19:15:00-07:00 | 📓 Notion Day Recap | colorId 1
2026-07-29T19:15:00-07:00 -> 2026-07-29T21:45:00-07:00 | 🎮 Free Time / Hobbies | colorId 4
2026-07-29T21:45:00-07:00 -> 2026-07-30T00:45:00-07:00 | 🌙 Wind Down / Creative | colorId 1
