ts,symbol,cvd_session,cvd_1m,imbalance,vol_session,trades_n,blocks_n
2026-07-23T06:31:05,AAPL,8531,8531,0.0,28571,354,0
2026-07-23T06:31:05,NVDA,4016,4016,0.0,32230,262,0
2026-07-23T06:31:05,TSLA,-4997,-4997,0.0,42495,616,0
2026-07-23T06:31:05,MSFT,1813,1813,0.0,6527,113,0
2026-07-23T06:31:05,META,-2611,-2611,0.5,4230,130,0
2026-07-23T06:31:05,MSTR,2518,2518,-0.8182,2718,43,0
2026-07-23T06:31:05,ORCL,-1703,-1703,0.0,1769,25,0
2026-07-23T06:31:05,NFLX,17650,17650,0.0,52942,271,1
2026-07-23T06:31:05,AVGO,-2729,-2729,0.0,3687,77,0
2026-07-23T06:31:05,CRWD,-1101,-1101,0.6667,1275,30,0
2026-07-23T06:32:05,AAPL,14229,5698,0.0,39685,519,0
2026-07-23T06:32:05,NVDA,14243,10227,-0.75,63377,557,0
2026-07-23T06:32:05,TSLA,-15985,-10988,0.0,76925,1076,0
2026-07-23T06:32:05,MSFT,3727,1914,0.0,14657,236,0
2026-07-23T06:32:05,META,-3877,-1266,0.5,5984,189,0
2026-07-23T06:32:05,MSTR,3310,792,-0.8182,3710,58,0
2026-07-23T06:32:05,ORCL,-2474,-771,0.0,2540,31,0
2026-07-23T06:32:05,NFLX,50020,32370,0.3333,99020,520,1
2026-07-23T06:32:05,AVGO,-7608,-4879,0.0,9444,174,0
2026-07-23T06:32:05,CRWD,-1420,-319,0.6667,2390,50,0
2026-07-23T06:33:05,AAPL,16541,2312,0.3333,49421,670,0
2026-07-23T06:33:05,NVDA,23568,9325,0.0,93670,799,0
2026-07-23T06:33:05,TSLA,-6926,9059,0.0,107216,1451,0
2026-07-23T06:33:05,MSFT,6690,2963,0.0,25288,386,0
2026-07-23T06:33:05,META,-3478,399,0.5,7645,234,0
2026-07-23T06:33:05,MSTR,4191,881,-0.8182,4597,76,0
2026-07-23T06:33:05,ORCL,-1828,646,0.3333,9574,128,0
2026-07-23T06:33:05,NFLX,51883,1863,-0.3333,137051,725,0
2026-07-23T06:33:05,AVGO,-8405,-797,0.3333,12453,234,0
2026-07-23T06:33:05,CRWD,-938,482,0.6667,3152,70,0
2026-07-23T06:34:05,AAPL,18358,1817,0.0,62030,849,0
2026-07-23T06:34:05,NVDA,28101,4533,-0.0909,109205,955,0
2026-07-23T06:34:05,TSLA,-9036,-2110,0.0,132022,1752,0
2026-07-23T06:34:05,MSFT,3588,-3102,0.0,35432,545,0
2026-07-23T06:34:05,META,-3542,-64,0.5,8775,260,0
2026-07-23T06:34:05,MSTR,5127,936,-0.8182,5561,87,0
2026-07-23T06:34:05,ORCL,11966,13794,0.0,23368,259,0
2026-07-23T06:34:05,NFLX,53268,1385,0.7143,145214,789,0
2026-07-23T06:34:05,AVGO,-9903,-1498,0.3333,23729,374,0
2026-07-23T06:34:05,CRWD,-1466,-528,0.0,4086,90,0
2026-07-23T06:35:05,AAPL,22843,4485,0.3333,71429,987,0
2026-07-23T06:35:05,NVDA,30291,2190,0.0,121927,1107,0
2026-07-23T06:35:05,TSLA,-29978,-20942,-0.3333,156290,2062,0
2026-07-23T06:35:05,MSFT,3966,378,0.0,46866,718,0
2026-07-23T06:35:05,META,-3724,-182,0.5,11007,306,0
2026-07-23T06:35:05,MSTR,5527,400,-0.8182,6161,96,0
2026-07-23T06:35:05,ORCL,24029,12063,0.0,35891,379,0
2026-07-23T06:35:05,NFLX,54262,994,-0.7143,153800,854,0
2026-07-23T06:35:05,AVGO,-10108,-205,0.0,24460,395,0
2026-07-23T06:35:05,CRWD,-1312,154,0.0,4580,100,0
2026-07-23T06:36:05,AAPL,23618,775,0.0,77274,1098,0
2026-07-23T06:36:05,NVDA,33271,2980,0.4286,145201,1399,0
2026-07-23T06:36:05,TSLA,-53453,-23475,0.0,189005,2477,0
2026-07-23T06:36:05,MSFT,4375,409,0.0,54025,829,0
2026-07-23T06:36:05,META,-6006,-2282,0.5,15547,365,0
2026-07-23T06:36:05,MSTR,5948,421,-0.5,7610,116,0
2026-07-23T06:36:05,ORCL,29451,5422,0.0,41313,428,0
2026-07-23T06:36:05,NFLX,58018,3756,-0.2,169830,943,0
2026-07-23T06:36:05,AVGO,-10586,-478,0.3333,25990,433,0
2026-07-23T06:36:05,CRWD,-728,584,0.0,5244,114,0
2026-07-23T06:37:05,AAPL,24780,1162,0.0,80484,1182,0
2026-07-23T06:37:05,NVDA,29982,-3289,0.0,168862,1695,0
2026-07-23T06:37:05,TSLA,-70233,-16780,0.0,213277,2853,0
2026-07-23T06:37:05,MSFT,2967,-1408,0.0,58515,901,0
2026-07-23T06:37:05,META,-3890,2116,0.2,18011,416,0
2026-07-23T06:37:05,MSTR,6859,911,-0.5,9153,146,0
2026-07-23T06:37:05,ORCL,38008,8557,0.0,49870,524,0
2026-07-23T06:37:05,NFLX,61486,3468,0.125,192004,1083,0
2026-07-23T06:37:05,AVGO,-11293,-707,0.3333,26903,463,0
2026-07-23T06:37:05,CRWD,-462,266,0.0,5910,137,0
2026-07-23T06:38:05,AAPL,24087,-693,0.0,82873,1243,0
2026-07-23T06:38:05,NVDA,24745,-5237,0.0,190973,1941,0
2026-07-23T06:38:05,TSLA,-82709,-12476,0.3333,239035,3266,0
2026-07-23T06:38:05,MSFT,4355,1388,0.3333,66967,1013,0
2026-07-23T06:38:05,META,-3155,735,0.5,19672,464,0
2026-07-23T06:38:05,MSTR,8644,1785,-0.5,11066,181,0
2026-07-23T06:38:05,ORCL,45766,7758,0.0,59108,622,0
2026-07-23T06:38:05,NFLX,70135,8649,0.7778,211043,1232,0
2026-07-23T06:38:05,AVGO,-12209,-916,0.3333,28549,511,0
2026-07-23T06:38:05,CRWD,-250,212,0.0,6802,156,0
2026-07-23T06:39:05,AAPL,24907,820,-0.5,86817,1330,0
2026-07-23T06:39:05,NVDA,19752,-4993,0.0,207684,2133,0
2026-07-23T06:39:05,TSLA,-85753,-3044,-0.3333,254789,3549,0
2026-07-23T06:39:05,MSFT,8303,3948,0.0,73463,1089,0
2026-07-23T06:39:05,META,-5679,-2524,0.5,23268,512,0
2026-07-23T06:39:05,MSTR,9884,1240,-0.5,12306,198,0
2026-07-23T06:39:05,ORCL,47119,1353,0.0,64113,679,0
2026-07-23T06:39:05,NFLX,73605,3470,0.4286,224687,1350,0
2026-07-23T06:39:05,AVGO,-12276,-67,0.3333,31172,555,0
2026-07-23T06:39:05,CRWD,1550,1800,0.0,8682,194,0
2026-07-23T06:40:05,AAPL,25917,1010,-0.2,90345,1405,0
2026-07-23T06:40:05,NVDA,24894,5142,0.0,225816,2328,0
2026-07-23T06:40:05,TSLA,-93299,-7546,0.6,269375,3756,0
2026-07-23T06:40:05,MSFT,15148,6845,0.0,82228,1205,0
2026-07-23T06:40:05,META,-4211,1468,0.5,25152,550,0
2026-07-23T06:40:05,MSTR,9811,-73,-0.5,13269,210,0
2026-07-23T06:40:05,ORCL,55071,7952,0.0,72205,755,0
2026-07-23T06:40:05,NFLX,84289,10684,-0.6,250579,1541,0
2026-07-23T06:40:05,AVGO,-13344,-1068,0.3333,32824,589,0
2026-07-23T06:40:05,CRWD,2333,783,-0.5,9845,227,0
2026-07-23T06:41:05,AAPL,26453,536,0.6923,94289,1484,0
2026-07-23T06:41:05,NVDA,27376,2482,0.0,240618,2522,0
2026-07-23T06:41:05,TSLA,-91831,1468,-0.3333,291245,4022,0
2026-07-23T06:41:05,MSFT,16793,1645,0.0,88363,1322,0
2026-07-23T06:41:05,META,-4867,-656,0.8,28248,617,0
2026-07-23T06:41:05,MSTR,10993,1182,0.0,14707,231,0
2026-07-23T06:41:05,ORCL,63983,8912,0.0,81117,846,0
2026-07-23T06:41:05,NFLX,93331,9042,-0.3333,268119,1656,0
2026-07-23T06:41:05,AVGO,-15024,-1680,0.3333,35184,650,0
2026-07-23T06:41:05,CRWD,1041,-1292,-0.5,11137,256,0
2026-07-23T06:42:05,AAPL,26616,163,0.0,97250,1540,0
2026-07-23T06:42:05,NVDA,22385,-4991,0.7143,258593,2773,0
2026-07-23T06:42:05,TSLA,-113738,-21907,0.3333,318696,4210,1
2026-07-23T06:42:05,MSFT,19359,2566,-0.3333,92503,1398,0
2026-07-23T06:42:05,META,-8215,-3348,0.7778,34602,703,0
2026-07-23T06:42:05,MSTR,12004,1011,-0.8182,16894,256,0
2026-07-23T06:42:05,ORCL,72501,8518,0.0,92253,982,0
2026-07-23T06:42:05,NFLX,98123,4792,-0.7143,278105,1735,0
2026-07-23T06:42:05,AVGO,-16754,-1730,0.3333,37520,704,0
2026-07-23T06:42:05,CRWD,1276,235,0.0,12066,280,0
2026-07-23T06:43:05,AAPL,28327,1711,0.0,102089,1601,0
2026-07-23T06:43:05,NVDA,27587,5202,-0.3333,295907,3193,0
2026-07-23T06:43:05,TSLA,-128844,-15106,-0.3333,337154,4442,0
2026-07-23T06:43:05,MSFT,24257,4898,0.0,98387,1513,0
2026-07-23T06:43:05,META,-9637,-1422,0.0,37798,764,0
2026-07-23T06:43:05,MSTR,11887,-117,-0.8182,18519,278,0
2026-07-23T06:43:05,ORCL,77664,5163,0.0,97816,1043,0
2026-07-23T06:43:05,NFLX,101808,3685,0.3333,290682,1836,0
2026-07-23T06:43:05,AVGO,-17127,-373,0.0,38969,736,0
2026-07-23T06:43:05,CRWD,756,-520,-0.5,12986,299,0
2026-07-23T06:44:05,AAPL,27616,-711,0.0,106472,1679,0
2026-07-23T06:44:05,NVDA,27493,-94,0.7143,319865,3456,0
2026-07-23T06:44:05,TSLA,-140351,-11507,0.0,352869,4610,0
2026-07-23T06:44:05,MSFT,28911,4654,0.5,104381,1641,0
2026-07-23T06:44:05,META,-7669,1968,0.7143,40192,809,0
2026-07-23T06:44:05,MSTR,11726,-161,-0.8182,19094,287,0
2026-07-23T06:44:05,ORCL,83392,5728,0.0,103544,1109,0
2026-07-23T06:44:05,NFLX,102387,579,0.3333,296713,1890,0
2026-07-23T06:44:05,AVGO,-17872,-745,0.0,41530,788,0
2026-07-23T06:44:05,CRWD,-7,-763,-0.5,13989,328,0
2026-07-23T06:45:05,AAPL,27366,-250,0.0,110346,1741,0
2026-07-23T06:45:05,NVDA,29064,1571,0.7143,335928,3651,0
2026-07-23T06:45:05,TSLA,-145942,-5591,0.0,365810,4781,0
2026-07-23T06:45:05,MSFT,35388,6477,0.0,113638,1753,0
2026-07-23T06:45:05,META,-5104,2565,0.0,43653,865,0
2026-07-23T06:45:05,MSTR,11469,-257,-0.8182,19551,292,0
2026-07-23T06:45:05,ORCL,92875,9483,-0.5,113027,1220,0
2026-07-23T06:45:05,NFLX,107835,5448,-0.4286,304977,1945,0
2026-07-23T06:45:05,AVGO,-19847,-1975,0.0,46195,863,0
2026-07-23T06:45:05,CRWD,-731,-724,-0.5,15033,355,0
2026-07-23T06:46:05,AAPL,28961,1595,0.3333,114961,1840,0
2026-07-23T06:46:05,NVDA,32690,3626,-0.3333,370970,4020,0
2026-07-23T06:46:05,TSLA,-154098,-8156,0.0,386872,5079,0
2026-07-23T06:46:05,MSFT,42020,6632,0.0,123170,1907,0
2026-07-23T06:46:05,META,-6332,-1228,0.0,47795,937,0
2026-07-23T06:46:05,MSTR,11635,166,-0.8182,20245,307,0
2026-07-23T06:46:05,ORCL,98046,5171,0.0,118198,1271,0
2026-07-23T06:46:05,NFLX,108412,577,0.6,315736,2044,0
2026-07-23T06:46:05,AVGO,-20809,-962,0.3333,47747,901,0
2026-07-23T06:46:05,CRWD,-1201,-470,-0.5,15911,372,0
2026-07-23T06:47:05,AAPL,31691,2730,0.2,120687,1969,0
2026-07-23T06:47:05,NVDA,19193,-13497,-0.3333,394495,4310,0
2026-07-23T06:47:05,TSLA,-156579,-2481,0.0,403593,5360,0
2026-07-23T06:47:05,MSFT,44604,2584,-0.3333,142216,2127,0
