date,symbol,spot,pc_vol_ratio,call_vol,put_vol,gex_vol_proxy,atm_iv
2026-07-14,AAPL,314.84,0.6724,450474,302877,4870367.0,0.2687
2026-07-14,NVDA,211.86,0.4752,2162431,1027518,27643012.0,0.4164
2026-07-14,TSLA,396.17,0.6556,905087,593389,3597465.0,0.4918
2026-07-14,MSFT,385.35,0.4043,354429,143297,6967227.0,0.3994
2026-07-14,META,661.04,0.5603,244711,137114,4070578.0,0.4955
2026-07-14,MSTR,97.52,0.9989,117978,117848,132140.0,0.9086
2026-07-14,ORCL,128.22,0.6436,243559,156746,151951.0,0.6471
2026-07-14,NFLX,73.52,0.5431,217032,117874,162313.0,0.5118
2026-07-14,AVGO,389.09,0.6879,104787,72081,898135.0,0.5297
2026-07-14,CRWD,210.78,0.744,100839,75022,356070.0,0.6591
2026-07-18,AAPL,0.0,0.9662,420716,406479,0.0,
2026-07-18,NVDA,0.0,0.6165,1143680,705086,0.0,
2026-07-18,TSLA,0.0,0.9024,530979,479166,0.0,
2026-07-18,MSFT,0.0,0.4019,229538,92251,0.0,
2026-07-18,META,0.0,0.4065,317630,129119,0.0,
2026-07-18,MSTR,0.0,0.5698,241274,137486,0.0,
2026-07-18,ORCL,0.0,0.5021,229647,115310,0.0,
2026-07-18,NFLX,0.0,0.6171,590222,364231,0.0,
2026-07-18,AVGO,0.0,0.9788,83890,82108,0.0,
2026-07-18,CRWD,0.0,0.8877,45549,40434,0.0,
2026-07-19,AAPL,0.0,0.9662,420716,406479,0.0,
2026-07-19,NVDA,0.0,0.6165,1143680,705086,0.0,
2026-07-19,TSLA,0.0,0.9024,530979,479166,0.0,
2026-07-19,MSFT,0.0,0.4019,229538,92251,0.0,
2026-07-19,META,0.0,0.4065,317630,129119,0.0,
2026-07-19,MSTR,0.0,0.5698,241274,137486,0.0,
2026-07-19,ORCL,0.0,0.5021,229647,115310,0.0,
2026-07-19,NFLX,0.0,0.6171,590222,364231,0.0,
2026-07-19,AVGO,0.0,0.9788,83890,82108,0.0,
2026-07-19,CRWD,0.0,0.8877,45549,40434,0.0,
2026-07-20,AAPL,328.06,0.7031,1012664,711984,3920889.0,0.313
2026-07-20,NVDA,203.09,0.5899,1909958,1126647,3375135.0,0.4188
2026-07-20,TSLA,371.48,0.7457,1361217,1015105,675406.0,0.5626
2026-07-20,MSFT,401.83,0.3865,616671,238345,3552435.0,0.4354
2026-07-20,META,650.44,0.4957,317229,157235,1924963.0,0.5242
2026-07-20,MSTR,97.59,0.7227,113420,81965,118230.0,0.8813
2026-07-20,ORCL,122.48,0.5008,232134,116246,252189.0,0.6956
2026-07-20,NFLX,67.59,0.5726,299079,171247,269082.0,0.3878
2026-07-20,AVGO,379.33,0.6627,106439,70537,384055.0,0.552
2026-07-20,CRWD,201.0,0.9476,43359,41085,432.0,0.6747
2026-07-21,AAPL,327.84,0.6361,658399,418781,12857174.0,0.3095
2026-07-21,NVDA,206.96,0.533,1441314,768268,18355479.0,0.403
2026-07-21,TSLA,377.75,0.5789,542163,313866,2447829.0,0.5486
2026-07-21,MSFT,398.76,0.3589,277914,99754,6305005.0,0.4481
2026-07-21,META,648.35,0.3805,219260,83425,3632015.0,0.5328
2026-07-21,MSTR,101.09,0.6262,163025,102089,197173.0,0.8652
2026-07-21,ORCL,127.0,0.4179,242705,101426,498675.0,0.6909
2026-07-21,NFLX,68.41,0.4568,332556,151909,722137.0,0.3803
2026-07-21,AVGO,386.14,0.621,90317,56085,746726.0,0.5447
2026-07-21,CRWD,192.17,0.9908,47483,47045,20382.0,0.6659
2026-07-22,AAPL,324.46,0.6261,729778,456889,3151824.0,0.3057
2026-07-22,NVDA,212.48,0.4993,3217057,1606349,9478174.0,0.4126
2026-07-22,TSLA,374.54,0.7808,414608,323741,760539.0,0.5633
2026-07-22,MSFT,388.74,0.4534,461906,209432,2177884.0,0.4694
2026-07-22,META,626.45,0.5281,304061,160589,1207663.0,0.5536
2026-07-22,MSTR,99.75,0.4456,184683,82288,635453.0,0.8486
2026-07-22,ORCL,126.04,0.3764,184905,69602,236853.0,0.707
2026-07-22,NFLX,68.5,0.5024,329637,165594,489476.0,0.3808
2026-07-22,AVGO,398.16,0.3316,263381,87340,2380782.0,0.5564
2026-07-22,CRWD,187.53,0.9584,42965,41176,38070.0,0.6695
2026-07-23,AAPL,321.12,0.8613,372704,321027,1037051.0,0.3045
2026-07-23,NVDA,206.97,0.5708,1449941,827645,7005002.0,0.417
2026-07-23,TSLA,315.94,0.8363,1783667,1491704,-7581831.0,0.5008
2026-07-23,MSFT,380.16,0.4961,347580,172442,-201577.0,0.4425
2026-07-23,META,604.47,0.5071,336630,170703,5210623.0,0.5519
2026-07-23,MSTR,93.83,0.358,281192,100665,365702.0,0.8484
2026-07-23,ORCL,119.71,0.6646,242980,161495,-72439.0,0.6896
2026-07-23,NFLX,68.62,0.9419,216917,204321,403388.0,0.3746
2026-07-23,AVGO,389.3,0.5778,111035,64159,705873.0,0.5186
2026-07-23,CRWD,184.06,1.0268,52062,53455,30844.0,0.6497
2026-07-24,AAPL,332.76,0.6123,1414938,866418,6357979.0,0.2998
2026-07-24,NVDA,205.79,0.5693,2544132,1448498,2840822.0,0.4142
2026-07-24,TSLA,310.81,1.1961,1591169,1903193,-402819.0,0.4891
2026-07-24,MSFT,382.88,0.5044,347998,175520,2508445.0,0.4434
2026-07-24,META,599.27,0.4383,381620,167260,2772181.0,0.527
2026-07-24,MSTR,92.29,0.5646,329933,186296,312982.0,0.8421
2026-07-24,ORCL,115.54,0.6366,321977,204960,29125.0,0.6797
2026-07-24,NFLX,70.19,0.6803,271371,184613,170192.0,0.3658
2026-07-24,AVGO,380.73,0.8122,100282,81447,108809.0,0.5009
2026-07-24,CRWD,182.85,0.9062,53666,48630,11235.0,0.6306
2026-07-27,AAPL,336.24,0.6801,1023579,696103,2654459.0,0.3283
2026-07-27,NVDA,196.81,0.6165,2879193,1774922,3073803.0,0.4496
2026-07-27,TSLA,308.67,1.1133,1203556,1339870,-125507.0,0.5041
2026-07-27,MSFT,390.09,0.3957,480803,190233,706134.0,0.4891
2026-07-27,META,594.27,0.4236,352176,149183,630176.0,0.5995
2026-07-27,MSTR,98.6,0.9695,120779,117096,44015.0,0.8583
2026-07-27,ORCL,119.62,0.4883,205812,100501,215858.0,0.6877
2026-07-27,NFLX,70.48,0.7705,196570,151463,289875.0,0.3769
2026-07-27,AVGO,382.49,0.8906,92123,82043,166939.0,0.5512
2026-07-27,CRWD,180.76,1.0257,36872,37819,8693.0,0.6435
2026-07-29,AAPL,339.58,0.7977,914028,729161,-100585.0,0.345
2026-07-29,NVDA,191.46,0.6752,2136455,1442463,2220473.0,0.4508
2026-07-29,TSLA,297.9,1.0361,1106805,1146739,336133.0,0.5007
2026-07-29,MSFT,392.54,0.5431,272560,148017,1058469.0,0.5534
2026-07-29,META,584.52,0.5322,220397,117290,481768.0,0.6772
2026-07-29,MSTR,94.91,0.452,205892,93054,152246.0,0.888
2026-07-29,ORCL,118.15,0.5064,145797,73834,142585.0,0.706
2026-07-29,NFLX,73.35,0.7831,148194,116053,319683.0,0.3789
2026-07-29,AVGO,376.47,0.7457,83075,61947,134170.0,0.5653
2026-07-29,CRWD,179.78,0.9811,38562,37833,36265.0,0.6544
2026-07-31,AAPL,306.54,0.7202,1483205,1068192,5880170.0,0.2869
2026-07-31,NVDA,201.08,0.5246,2794578,1465926,7842364.0,0.4005
2026-07-31,TSLA,311.63,0.8829,1498456,1322918,3217334.0,0.4542
2026-07-31,MSFT,462.76,0.4798,849250,407473,7157863.0,0.3088
2026-07-31,META,552.25,0.631,375572,237000,1273983.0,0.3808
2026-07-31,MSTR,93.81,0.4802,490207,235398,472326.0,0.776
2026-07-31,ORCL,129.73,0.3913,239073,93547,230870.0,0.6551
2026-07-31,NFLX,71.64,0.6415,238235,152833,202839.0,0.3764
2026-07-31,AVGO,388.94,0.9127,118431,108087,342854.0,0.4928
2026-07-31,CRWD,190.57,0.6941,67664,46963,76029.0,0.6175
2026-08-04,AAPL,310.28,0.3102,969930,300873,29033942.0,0.2855
2026-08-04,NVDA,212.86,0.4657,1665883,775850,21397232.0,0.4157
2026-08-04,TSLA,328.08,0.5527,1034879,571987,12456718.0,0.4944
2026-08-04,MSFT,496.96,0.4772,522619,249411,15428831.0,0.3346
2026-08-04,META,592.41,0.4868,254478,123876,6514507.0,0.4114
2026-08-04,MSTR,97.68,0.5089,147355,74990,217320.0,0.7825
2026-08-04,ORCL,146.97,0.2995,382383,114527,1055129.0,0.6921
2026-08-04,NFLX,73.48,0.5062,255473,129310,565486.0,0.4027
2026-08-04,AVGO,420.5,0.6055,188344,114038,2357982.0,0.5729
2026-08-04,CRWD,211.59,0.9037,60935,55070,129995.0,0.6435
