,equity
2026-07-06,100000.0
2026-07-07,100000.0
2026-07-08,100000.0
2026-07-09,99928.20189112265
2026-07-10,99934.56214641398
2026-07-13,99772.77737235538
2026-07-14,99759.0909707111
2026-07-15,99595.2349371425
2026-07-16,98797.7916252745
2026-07-17,99123.83777819878
2026-07-20,98918.54651410115
2026-07-21,99977.41562148587
2026-07-22,99620.87786683216
2026-07-23,99647.85010979192
2026-07-24,99579.97471742508
2026-07-27,99399.48040787264
2026-07-28,99020.6157701669
2026-07-29,97299.64233864538
2026-07-30,100050.03721356654
2026-07-31,100078.11502544963
2026-08-03,100239.9309185762
2026-08-04,102549.4581682067
2026-08-05,101781.5862104322
2026-08-06,101826.96108089629
2026-08-07,101856.5667524979
2026-08-10,101693.41147351584
2026-08-11,101585.60601379562
2026-08-12,101500.00529881477
