side,entry_time,entry_fill,qty,exit_time,exit_reason,n_fills,pnl,r
long,2026-04-30 15:45:00-04:00,274.49,36.43,2026-04-30 15:50:00-04:00,cond_exit,1,-10.38,-0.161
long,2026-05-01 09:35:00-04:00,280.76,35.62,2026-05-01 10:45:00-04:00,cond_exit,1,55.34,0.145
long,2026-05-05 12:35:00-04:00,282.04,35.47,2026-05-05 13:40:00-04:00,cond_exit,1,15.56,0.189
long,2026-05-08 09:35:00-04:00,293.01,34.15,2026-05-08 11:00:00-04:00,cond_exit,1,15.76,0.065
long,2026-05-08 15:50:00-04:00,293.86,34.06,2026-05-11 09:30:00-04:00,stop,1,-48.03,-1.051
long,2026-05-13 11:30:00-04:00,296.945,33.69,2026-05-13 12:00:00-04:00,cond_exit,1,-2.67,-0.044
long,2026-05-13 12:30:00-04:00,298.4,33.52,2026-05-13 14:00:00-04:00,cond_exit,2,57.55,0.947
long,2026-05-14 14:35:00-04:00,298.425,33.54,2026-05-14 15:50:00-04:00,cond_exit,1,-5.52,-0.169
long,2026-05-15 13:25:00-04:00,302.92,33.04,2026-05-15 13:45:00-04:00,cond_exit,1,-17.2,-0.353
long,2026-05-20 14:05:00-04:00,301.58,33.18,2026-05-20 14:20:00-04:00,cond_exit,1,-8.8,-0.227
long,2026-05-22 09:35:00-04:00,308.27,32.46,2026-05-22 11:35:00-04:00,cond_exit,1,84.97,0.67
long,2026-05-27 09:35:00-04:00,310.635,32.24,2026-05-27 11:20:00-04:00,cond_exit,1,44.01,0.436
long,2026-05-29 09:30:00-04:00,311.785,32.13,2026-05-29 10:20:00-04:00,cond_exit,2,66.95,0.886
long,2026-05-29 14:35:00-04:00,310.635,32.27,2026-06-01 09:30:00-04:00,stop,2,29.54,0.774
short,2026-06-11 09:30:00-04:00,293.71,34.14,2026-06-11 09:50:00-04:00,stop,1,11.86,0.194
short,2026-06-25 15:40:00-04:00,275.85,36.36,2026-06-26 10:05:00-04:00,cond_exit,1,-48.18,-0.333
