side,entry_time,entry_fill,qty,exit_time,exit_reason,n_fills,pnl,r
long,2026-04-22 13:50:00-04:00,677.57,14.76,2026-04-22 14:30:00-04:00,cond_exit,1,-27.97,-0.612
long,2026-04-22 15:50:00-04:00,677.7,14.75,2026-04-22 15:55:00-04:00,stop,1,-47.2,-1.113
short,2026-05-12 09:35:00-04:00,593.67,16.83,2026-05-12 09:50:00-04:00,stop,1,-112.49,-1.012
short,2026-05-20 10:10:00-04:00,598.13,16.69,2026-05-20 10:30:00-04:00,cond_exit,1,-62.24,-0.653
short,2026-06-02 09:35:00-04:00,602.105,16.57,2026-06-02 09:45:00-04:00,breakeven,2,40.01,0.474
short,2026-06-05 14:35:00-04:00,589.61,16.92,2026-06-05 15:05:00-04:00,cond_exit,1,-76.47,-0.173
short,2026-06-09 12:20:00-04:00,584.675,17.05,2026-06-09 13:10:00-04:00,cond_exit,1,-1.91,-0.018
short,2026-06-10 11:15:00-04:00,576.39,17.3,2026-06-10 11:45:00-04:00,cond_exit,1,-55.8,-0.304
short,2026-06-10 13:40:00-04:00,574.135,17.36,2026-06-10 14:00:00-04:00,cond_exit,1,-23.78,-0.318
short,2026-06-11 09:35:00-04:00,564.02,17.66,2026-06-11 10:45:00-04:00,cond_exit,1,54.98,0.315
short,2026-06-26 14:35:00-04:00,552.425,18.05,2026-06-26 15:55:00-04:00,cond_exit,1,30.36,0.439
short,2026-06-29 09:30:00-04:00,559.99,17.81,2026-06-29 09:35:00-04:00,cond_exit,1,-89.61,-1.683
