side,entry_time,entry_fill,qty,exit_time,exit_reason,n_fills,pnl,r
long,2026-04-24 15:05:00-04:00,423.06,23.64,2026-04-27 09:30:00-04:00,stop,1,-9.82,-0.213
long,2026-04-27 14:10:00-04:00,426.25,23.46,2026-04-27 14:50:00-04:00,cond_exit,1,-13.14,-0.262
long,2026-04-28 15:35:00-04:00,429.31,23.29,2026-04-29 09:30:00-04:00,stop,1,-72.76,-1.042
long,2026-05-28 14:05:00-04:00,428.43,23.32,2026-05-28 14:25:00-04:00,cond_exit,1,-50.73,-0.538
long,2026-05-29 09:40:00-04:00,439.4204,22.72,2026-05-29 10:50:00-04:00,cond_exit,1,46.39,0.137
short,2026-06-05 14:45:00-04:00,417.0,23.96,2026-06-05 15:40:00-04:00,cond_exit,1,-5.11,-0.05
short,2026-06-09 11:30:00-04:00,403.67,24.75,2026-06-09 13:00:00-04:00,cond_exit,1,81.9,0.533
short,2026-06-10 09:35:00-04:00,398.09,25.11,2026-06-10 09:55:00-04:00,cond_exit,1,-136.52,-0.839
short,2026-06-10 15:25:00-04:00,399.11,25.02,2026-06-11 09:30:00-04:00,target,2,56.13,1.26
short,2026-06-17 14:35:00-04:00,382.57,26.11,2026-06-18 10:10:00-04:00,cond_exit,2,146.2,1.551
short,2026-06-18 15:05:00-04:00,377.285,26.52,2026-06-18 15:45:00-04:00,cond_exit,1,-21.76,-0.46
short,2026-06-24 14:45:00-04:00,369.15,27.09,2026-06-25 09:30:00-04:00,target,2,106.48,1.188
