side,entry_time,entry_fill,qty,exit_time,exit_reason,n_fills,pnl,r
long,2026-04-21 15:35:00-04:00,201.02,49.75,2026-04-21 15:40:00-04:00,stop,1,-49.53,-1.053
long,2026-04-24 10:50:00-04:00,206.99,48.29,2026-04-24 11:50:00-04:00,cond_exit,1,103.26,0.405
long,2026-04-27 12:35:00-04:00,212.57,47.07,2026-04-27 14:40:00-04:00,cond_exit,2,126.34,1.033
long,2026-04-28 14:40:00-04:00,213.41,46.94,2026-04-28 15:30:00-04:00,cond_exit,1,28.04,0.243
short,2026-05-04 11:25:00-04:00,194.94,51.4,2026-05-04 12:20:00-04:00,cond_exit,1,-75.0,-0.398
short,2026-05-05 15:55:00-04:00,196.29,51.01,2026-05-06 09:30:00-04:00,cond_exit,1,-182.09,-5.114
long,2026-05-07 10:10:00-04:00,212.065,47.13,2026-05-07 11:05:00-04:00,cond_exit,1,17.09,0.062
long,2026-05-08 09:50:00-04:00,217.4592,45.97,2026-05-08 10:30:00-04:00,cond_exit,1,-101.2,-0.342
long,2026-05-11 10:55:00-04:00,222.075,44.97,2026-05-11 11:40:00-04:00,cond_exit,1,-39.99,-0.179
long,2026-05-12 15:20:00-04:00,221.04,45.16,2026-05-12 15:55:00-04:00,cond_exit,1,-34.51,-0.33
long,2026-05-13 09:35:00-04:00,226.805,44.0,2026-05-13 10:15:00-04:00,cond_exit,1,-124.97,-0.411
long,2026-05-15 14:10:00-04:00,231.05,43.14,2026-05-15 14:35:00-04:00,cond_exit,1,-87.4,-0.731
short,2026-05-27 09:45:00-04:00,211.64,47.05,2026-05-27 11:15:00-04:00,cond_exit,1,97.76,0.5
short,2026-06-05 14:40:00-04:00,205.405,48.53,2026-06-05 15:05:00-04:00,cond_exit,1,-37.42,-0.266
short,2026-06-09 12:10:00-04:00,201.95,49.34,2026-06-09 13:00:00-04:00,cond_exit,1,-4.95,-0.024
short,2026-06-10 15:25:00-04:00,200.27,49.75,2026-06-10 15:45:00-04:00,cond_exit,1,-49.76,-0.476
short,2026-06-23 14:55:00-04:00,200.55,49.65,2026-06-23 15:25:00-04:00,cond_exit,1,-33.28,-0.444
short,2026-06-24 13:10:00-04:00,198.865,50.06,2026-06-24 14:20:00-04:00,cond_exit,1,24.79,0.228
short,2026-06-25 10:00:00-04:00,192.375,51.76,2026-06-25 10:40:00-04:00,cond_exit,1,-143.83,-0.32
