side,entry_time,entry_fill,qty,exit_time,exit_reason,n_fills,pnl,r
long,2026-04-22 09:45:00-04:00,390.54,25.61,2026-04-22 10:50:00-04:00,cond_exit,1,-0.34,-0.002
long,2026-05-06 14:15:00-04:00,400.49,24.97,2026-05-06 14:45:00-04:00,cond_exit,1,-15.73,-0.152
long,2026-05-07 09:35:00-04:00,412.305,24.25,2026-05-07 10:55:00-04:00,cond_exit,1,10.97,0.031
long,2026-05-08 09:35:00-04:00,422.015,23.7,2026-05-08 10:40:00-04:00,cond_exit,1,79.62,0.185
long,2026-05-11 11:15:00-04:00,430.01,23.27,2026-05-11 12:45:00-04:00,cond_exit,1,212.21,0.664
long,2026-05-11 14:05:00-04:00,444.815,22.55,2026-05-11 14:45:00-04:00,cond_exit,1,4.87,0.031
long,2026-05-12 15:55:00-04:00,435.56,23.03,2026-05-13 09:45:00-04:00,stop,1,-109.02,-1.048
long,2026-05-13 10:15:00-04:00,439.83,22.78,2026-05-13 11:50:00-04:00,cond_exit,2,221.34,0.953
short,2026-05-19 09:50:00-04:00,400.885,25.04,2026-05-19 11:05:00-04:00,cond_exit,1,111.38,0.42
long,2026-05-26 14:35:00-04:00,433.865,23.17,2026-05-26 15:00:00-04:00,cond_exit,1,-42.43,-0.596
short,2026-06-01 15:55:00-04:00,416.11,24.15,2026-06-02 10:00:00-04:00,cond_exit,1,-29.3,-0.356
short,2026-06-09 12:20:00-04:00,388.1,25.88,2026-06-09 13:00:00-04:00,cond_exit,1,-6.15,-0.027
short,2026-06-10 15:20:00-04:00,380.4801,26.4,2026-06-10 15:45:00-04:00,cond_exit,1,-60.35,-0.588
short,2026-06-24 13:10:00-04:00,377.43,26.59,2026-06-24 14:20:00-04:00,cond_exit,1,22.2,0.173
long,2026-06-29 13:40:00-04:00,409.635,24.51,2026-06-29 14:00:00-04:00,cond_exit,1,-18.55,-0.102
long,2026-06-30 15:00:00-04:00,421.96,23.79,2026-06-30 15:50:00-04:00,cond_exit,1,-6.05,-0.055
long,2026-07-01 10:10:00-04:00,426.65,23.53,2026-07-01 11:50:00-04:00,cond_exit,1,51.75,0.241
