,momentum,mr,parallel,switch,in_momentum
2026-07-13,100000.0,100000.0,100000.0,100000.0,0
2026-07-14,100000.0,99977.69955421812,99988.84977710906,100000.0,1
2026-07-15,100000.0,99630.11106725801,99815.03615086105,100000.0,1
2026-07-16,100000.0,99236.24468580307,99617.73742920754,100000.0,1
2026-07-17,100000.0,99478.0201133118,99739.08987019649,100000.0,1
2026-07-20,100000.0,99480.55888810114,99740.36258896685,100002.55209621829,0
2026-07-21,100000.0,100558.6726561278,100280.82727541924,101086.32293001516,0
2026-07-22,99977.76753102141,100187.88705820101,100084.79926811147,101063.84894462815,1
2026-07-23,100070.10860774317,100249.23660537784,100161.662445535,101157.19314364015,1
2026-07-24,100092.43320696695,100181.08324965347,100138.78804780981,101088.42252351528,0
2026-07-27,99776.4752207915,99999.84977966972,99890.15741370006,100905.54762343594,0
2026-07-28,99635.30383545227,99619.4336152166,99629.49185973403,100521.68603280828,0
2026-07-29,100037.28634918388,97889.37136403323,98965.35292735706,98775.95462158187,0
2026-07-30,99932.74501809597,100655.81347416778,100312.06752051627,101567.45237589559,0
2026-07-31,99363.5546442327,100683.27948922606,100040.07818191304,101595.16715043371,0
2026-08-03,99150.5588205724,100846.07659983284,100013.73372359654,101759.4387131759,0
2026-08-04,98936.54851188361,103169.58535710307,101057.96274077606,101539.7972996523,1
2026-08-05,98404.43984773522,102397.06392237273,100407.84869725798,100993.68762924545,1
2026-08-06,99001.58759647276,102442.71316953315,100734.88243679541,101606.54771256917,1
2026-08-07,98751.12553964199,102472.49786327376,100622.10297045612,101349.49542133429,1
2026-08-10,99672.05185951557,102308.35600282098,101010.7013092415,102294.65343679354,1
2026-08-11,99737.64562920682,102199.89865571063,100990.39782390831,102361.97312985688,1
2026-08-12,99408.72167988832,102113.78032291314,100781.32055284646,102024.39443277117,1
